stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,stop_short_name
104506,Southbound 6th Ave at St Paul,50.673667996560795,-120.32725199949401,104506,0,,Southbound 6th Ave at St Paul
104507,Southbound 6th Ave at Columbia,50.6716729965436,-120.32726900004201,104507,0,,Southbound 6th Ave at Columbia
104508,Westbound Columbia at 5th Ave,50.67150599602309,-120.33003899938701,104508,0,,Westbound Columbia at 5th Ave
104509,Westbound Columbia St W at Bluff,50.6730179966065,-120.345764000369,104509,0,,Westbound Columbia at Bluff
104510,Westbound Columbia St W at Grandview,50.6737699958538,-120.35052000043801,104510,0,,Westbound Columbia at Grandview
104511,Southbound Columbia St W at Frontage,50.6724689959923,-120.353702000381,104511,0,,Southbound Columbia at Frontage
104512,TRU Exchange Bay F,50.6709529964865,-120.368273000622,104512,0,800014,TRU Exchange Bay F
104513,Southbound 1050 block Summit,50.6678289961121,-120.357252999723,104513,0,,Southbound 1050 block Summit
104514,Eastbound Summit at Arrowstone,50.6663949964848,-120.351369000564,104514,0,,Eastbound Summit at Arrowstone
104515,Southbound Summit at Notre Dame,50.6631539962766,-120.34846400034301,104515,0,,Southbound Summit at Notre Dame
104516,Westbound Notre Dame at Columbia St W,50.6635349962176,-120.35175199992601,104516,0,,Westbound Notre Dame at Columbia
104517,Westbound Notre Dame at Laval,50.6636499964633,-120.35678499985,104517,0,,Westbound Notre Dame at Laval
104518,Westbound Notre Dame at Cemetery,50.66362099617219,-120.359603000652,104518,0,,Westbound Notre Dame at Cemetery
104519,Westbound Notre Dame at Dalhousie,50.66356699599989,-120.361739000339,104519,0,,Westbound Notre Dame at Dalhousie
104520,Westbound Notre Dame at Dalhousie,50.663530995750094,-120.364910999624,104520,0,,Westbound Notre Dame at Dalhousie
104521,Westbound Notre Dame at Hillside,50.6632899962297,-120.369402999699,104521,0,,Westbound Notre Dame at Hillside
104522,Southbound Hillside Way at Hillside Crt,50.6559879963556,-120.369230000361,104522,0,,Southbound Hillside Way at Hillside Crt
104523,Westbound Rogers at Braeview,50.6514219957843,-120.368618999348,104523,0,,Westbound Rogers at Braeview
104524,Westbound 1250 block Rogers,50.651501995965496,-120.37240499945,104524,0,,Westbound 1250 block Rogers
104525,Westbound Rogers at Hugh Allan,50.6517589957566,-120.37490899987002,104525,0,,Westbound Rogers at Hugh Allan
104526,Southbound Hugh Allan at Rogers,50.650916996472795,-120.37529999985901,104526,0,,Southbound Hugh Allan at Rogers
104527,Eastbound Hugh Allan at Harrison,50.6496489965571,-120.37294200058,104527,0,,Eastbound Hugh Allan at Harrison
104528,Eastbound Hugh Allan at Howe,50.6486779961751,-120.36735399969,104528,0,,Eastbound Hugh Allan at Howe
104529,Eastbound Hugh Allan at Gloaming,50.6485579962446,-120.36337399951,104529,0,,Eastbound Hugh Allan at Gloaming
104530,Eastbound 880 block Hugh Allan,50.648349996426596,-120.361410999631,104530,0,,Eastbound 880 block Hugh Allan
104531,Southbound Sifton Ave at Sifton Lane,50.6462709962081,-120.36026500015201,104531,0,,Southbound Sifton Ave at Sifton Lane
104532,Southbound Sifton Ave at Sifton Lane,50.643809996389,-120.355711000122,104532,0,,Southbound Sifton Ave at Sifton Lane
104533,Eastbound 2240 block Sifton,50.639957995789494,-120.351230000377,104533,0,,Eastbound 2240 block Sifton
104534,Eastbound Laurier at Sifton,50.6378439964342,-120.34964599930801,104534,0,,Eastbound Laurier at Sifton
104535,Southbound Laurier at Aberdeen,50.637081996485094,-120.348748000078,104535,0,,Southbound Laurier at Aberdeen
104536,Westbound Aberdeen at Drummond,50.6374909963686,-120.35315500023201,104536,0,,Westbound Aberdeen at Drummond
104537,Westbound 650 block Aberdeen,50.6378789957512,-120.356312000436,104537,0,,Westbound 650 block Aberdeen
104538,Westbound Van Horne at Greystone,50.6432799959616,-120.363890999347,104538,0,,Westbound Van Horne at Greystone
104539,Northbound Van Horne at Holyrood,50.644974995922,-120.36539199980601,104539,0,,Northbound Van Horne at Holyrood
104540,Westbound Van Horne at Huntleigh,50.6468189959492,-120.367425000604,104540,0,,Westbound Van Horne at Huntleigh
104541,Northbound Van Horne at Howe,50.647814996151894,-120.371341999845,104541,0,,Northbound Van Horne at Howe
104542,Eastbound 1130 block Howe,50.6479949957508,-120.36753800047701,104542,0,,Eastbound 1130 block Howe
104543,Westbound Hugh Allan at Howe,50.6488099957306,-120.36687499979601,104543,0,,Westbound Hugh Allan at Howe
104544,Westbound Hugh Allan at Harrison,50.6499979964287,-120.37326299983201,104544,0,,Westbound Hugh Allan at Harrison
104545,Eastbound Rogers at Hugh Allan,50.651646996261,-120.374674999741,104545,0,,Eastbound Rogers at Hugh Allan
104546,Eastbound 1250 block Rogers,50.6513509957108,-120.37233599984302,104546,0,,Eastbound 1250 block Rogers
104547,Eastbound Rogers Way at Rogers Pl,50.651465996125594,-120.36804299997101,104547,0,,Eastbound Rogers Way at Rogers Pl
104548,Northbound Hillside Way at Hillside Crt,50.6556809962321,-120.36883300055801,104548,0,,Northbound Hillside Way at Hillside Crt
104551,Eastbound Notre Dame at Dalhousie,50.6633879965889,-120.36338600052301,104551,0,,Eastbound Notre Dame at Dalhousie
104552,Eastbound Notre Dame at Cemetery,50.663452996164196,-120.359191999851,104552,0,,Eastbound Notre Dame at Cemetery
104553,Eastbound Notre Dame at Laval,50.6635149963125,-120.356767000656,104553,0,,Eastbound Notre Dame at Laval
104554,Eastbound Notre Dame at Columbia St W,50.663372995915296,-120.352182999855,104554,0,,Eastbound Notre Dame at Columbia
104555,Northbound Summit at Notre Dame,50.66344899593759,-120.348229000249,104555,0,,Northbound Summit at Notre Dame
104556,Northbound 1300 block Summit,50.6653519963607,-120.349837000644,104556,0,,Northbound 1300 block Summit
104557,Westbound Summit at Arrowstone,50.6670379961319,-120.352303000002,104557,0,,Westbound Summit at Arrowstone
104559,Northbound 640 block Columbia St W,50.672431243915696,-120.353277762656,104559,0,,Northbound 640 block Columbia
104560,Westbound Battle at 3rd Ave,50.673225996178004,-120.33513399964401,104560,0,,Westbound Battle at 3rd Ave
104561,Westbound Battle St W at 1st Ave,50.6737339958858,-120.339337000195,104561,0,,Westbound Battle at 1st Ave
104562,Westbound Battle St W at Lee,50.6742819962692,-120.342225000319,104562,0,,Westbound Battle at Lee
104563,Northbound Strathcona at Battle St W,50.6759799961133,-120.348657999756,104563,0,,Northbound Strathcona at Battle
104564,Westbound Strathcona at Hemlock,50.6773579963252,-120.35294400048001,104564,0,,Westbound Strathcona at Hemlock
104565,Westbound Lombard at Centre,50.6775419961052,-120.35573299996099,104565,0,,Westbound Lombard at Centre
104566,Southbound Centre at Battle St W,50.6757129957214,-120.356255000193,104566,0,,Southbound Centre at Battle
104567,Eastbound Grandview at Dalgleish,50.6749749963834,-120.354768999919,104567,0,,Eastbound Grandview at Dalgleish
104568,Eastbound Grandview at Dufferin,50.6742849965677,-120.35046700054401,104568,0,,Eastbound Grandview at Dufferin
104569,Westbound Grandview at Garden,50.6747669958965,-120.35143300045601,104569,0,,Westbound Grandview at Garden
104570,Westbound Grandview at Dalgleish,50.675094995897794,-120.355058999986,104570,0,,Westbound Grandview at Dalgleish
104571,Northbound Centre at Battle St W,50.6757159957526,-120.35603800030101,104571,0,,Northbound Centre at Battle
104572,Eastbound Lombard at Centre,50.67741299582401,-120.35550699949201,104572,0,,Eastbound Lombard at Centre
104573,Eastbound Strathcona at Hemlock,50.6767109956905,-120.35182899947601,104573,0,,Eastbound Strathcona at Hemlock
104574,Southbound Strathcona at Battle St W,50.6761119965291,-120.34897699953,104574,0,,Southbound Strathcona at Battle
104575,Eastbound Battle St W at Lee,50.6740289964108,-120.34153700008702,104575,0,,Eastbound Battle at Lee
104576,Eastbound Battle at 1st Ave,50.67346499574,-120.33853299983501,104576,0,,Eastbound Battle at 1st Ave
104577,Lansdowne Exchange Bay B,50.676849995907,-120.326258999388,104577,0,800004,Lansdowne Exchange Bay B
104578,TRU Exchange Bay E,50.6710739958578,-120.36807199990601,104578,0,800014,TRU Exchange Bay E
104579,Eastbound Summit at Springhill,50.6605439962554,-120.34530000031,104579,0,,Eastbound Summit at Springhill
104580,Westbound 1470 block Springhill,50.6609879958314,-120.34747499951001,104580,0,,Westbound 1470 block Springhill
104581,Southbound 1560 block Springhill,50.6610249959425,-120.351903000246,104581,0,,Southbound 1560 block Springhill
104582,Southbound Springhill at Springfield,50.659319996569,-120.35571699962,104582,0,,Southbound Springhill at Springfield
104583,Southbound Springhill at Lasage,50.6552149964133,-120.35760699965701,104583,0,,Southbound Springhill at Lasage
104584,Westbound Springhill at Gleneagles,50.6536989963256,-120.359606999608,104584,0,,Westbound Springhill at Gleneagles
104585,Southbound Springhill at Gleneagles,50.653148995772696,-120.36195200034301,104585,0,,Southbound Springhill at Gleneagles
104586,Southbound Gleneagles at Glen Gary,50.6510249961294,-120.35843499974101,104586,0,,Southbound Gleneagles at Glen Gary
104587,Eastbound Gleneagles at Wentworth,50.65026999648101,-120.35595099948,104587,0,,Eastbound Gleneagles at Wentworth
104588,Northbound Gleneagles at Skagit,50.6525329962274,-120.35353400030502,104588,0,,Northbound Gleneagles at Skagit
104589,Northbound Gleneagles at Monarch,50.6538029961297,-120.351132000079,104589,0,,Northbound Gleneagles at Monarch
104590,Southbound 400 block Gleneagles,50.6540199958734,-120.34751700051702,104590,0,,Southbound 400 block Gleneagles
104591,Southbound Whistler at Gleneagles,50.6517729963776,-120.344238999983,104591,0,,Southbound Whistler at Gleneagles
104592,Eastbound Whistler Dr at Whistler Pl,50.6508159962525,-120.34244899947501,104592,0,,Eastbound Whistler Dr at Whistler Pl
104593,Westbound Robson at Hollyburn,50.64981099652609,-120.34211099961401,104593,0,,Westbound Robson at Hollyburn
